episodeID, SubjectID
EID68,"[SUB14,SUB15,SUB26,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID69,"[SUB17,SUB28,SUB49,SUB50,SUB59,SUB60]"
EID70,"[SUB8,SUB17,SUB49,SUB59,SUB60]"
EID71,"[SUB14,SUB15,SUB16,SUB28,SUB52,SUB59,SUB60]"
EID72,"[SUB12,SUB14,SUB15,SUB28,SUB38,SUB39,SUB49,SUB53,SUB59,SUB60,SUB62]"
EID73,"[SUB8,SUB15,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID74,"[SUB8,SUB9,SUB14,SUB15,SUB16,SUB28,SUB50,SUB59,SUB60]"
EID75,"[SUB3,SUB12,SUB14,SUB22,SUB28]"
EID76,"[SUB12,SUB14,SUB17,SUB38,SUB39,SUB49,SUB59]"
EID77,"[SUB8,SUB14,SUB17,SUB33,SUB59,SUB60]"
EID78,"[SUB14,SUB15,SUB17,SUB28,SUB32,SUB49,SUB59,SUB60]"
EID79,"[SUB9,SUB14,SUB17,SUB52,SUB56,SUB59,SUB66]"
EID80,"[SUB14,SUB17,SUB28,SUB33,SUB50,SUB59,SUB60]"
EID81,"[SUB12,SUB14,SUB15,SUB17,SUB49,SUB57,SUB59,SUB60]"
EID82,"[SUB9,SUB14,SUB15,SUB16,SUB17,SUB38,SUB39,SUB49,SUB53,SUB56,SUB59,SUB60]"
EID83,"[SUB29,SUB46]"
EID84,"[SUB8,SUB14,SUB16,SUB17,SUB33,SUB49,SUB59,SUB60,SUB62]"
EID85,"[SUB3,SUB14,SUB16,SUB17,SUB44,SUB52,SUB56,SUB59,SUB60]"
EID86,"[SUB8,SUB17,SUB38,SUB49,SUB53,SUB59,SUB60]"
EID87,"[SUB8,SUB14,SUB16,SUB17,SUB29,SUB33,SUB38,SUB53,SUB55,SUB59,SUB60]"
EID88,"[SUB14,SUB15,SUB28,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID89,"[SUB8,SUB14,SUB33,SUB52,SUB59,SUB60,SUB66]"
EID90,"[SUB5,SUB14,SUB16,SUB17,SUB19,SUB33,SUB56,SUB59]"
EID91,"[SUB8,SUB17,SUB49,SUB59,SUB60,SUB62]"
EID92,"[SUB15,SUB26,SUB28,SUB38,SUB39,SUB59,SUB60]"
EID93,"[SUB8,SUB9,SUB11,SUB14,SUB17,SUB27,SUB28,SUB33,SUB56,SUB59,SUB60]"
EID94,"[SUB9,SUB17,SUB28,SUB52,SUB56,SUB57,SUB59,SUB60,SUB66]"
EID95,"[SUB8,SUB17,SUB28,SUB33,SUB44,SUB50,SUB59,SUB60]"
EID96,"[SUB9,SUB12,SUB14,SUB15,SUB17,SUB44,SUB49,SUB50,SUB56,SUB59,SUB60]"
EID97,"[SUB8,SUB14,SUB15,SUB28,SUB38,SUB39,SUB49,SUB59,SUB60]"
EID98,"[SUB9,SUB15,SUB17,SUB22,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID99,"[SUB15,SUB17,SUB28,SUB38,SUB39,SUB49,SUB53,SUB59,SUB60]"
EID100,"[SUB8,SUB14,SUB15,SUB27,SUB48,SUB59,SUB60]"
EID101,"[SUB10,SUB14,SUB44,SUB50]"
EID102,"[SUB14,SUB15,SUB16,SUB17,SUB29,SUB33,SUB38,SUB39,SUB53,SUB55,SUB59,SUB60]"
EID103,"[SUB9,SUB14,SUB15,SUB52,SUB56,SUB59,SUB66]"
EID104,"[SUB2,SUB9,SUB15,SUB17,SUB33,SUB38,SUB40,SUB52,SUB53,SUB56,SUB59,SUB60,SUB66]"
EID105,"[SUB12,SUB14,SUB15,SUB38,SUB39,SUB52,SUB53,SUB57,SUB59,SUB60,SUB66]"
EID106,"[SUB4,SUB13,SUB14,SUB16,SUB41,SUB50,SUB63]"
EID107,"[SUB8,SUB14,SUB15,SUB33,SUB59,SUB60]"
EID108,"[SUB8,SUB14,SUB15,SUB16,SUB17,SUB28,SUB38,SUB39,SUB44,SUB53,SUB59,SUB60]"
EID109,"[SUB8,SUB9,SUB15,SUB26,SUB27,SUB38,SUB42,SUB49,SUB53,SUB56,SUB59,SUB60]"
EID110,"[SUB4,SUB14,SUB16,SUB41,SUB50,SUB63]"
EID111,"[SUB8,SUB15,SUB17,SUB38,SUB39,SUB49,SUB50,SUB53,SUB59,SUB60]"
EID112,"[SUB9,SUB17,SUB22,SUB38,SUB44,SUB56,SUB59,SUB60]"
EID113,"[SUB8,SUB14,SUB38,SUB49,SUB53,SUB59,SUB60]"
EID114,"[SUB8,SUB14,SUB16,SUB17,SUB28,SUB38,SUB39,SUB49,SUB59,SUB60]"
EID115,"[SUB4,SUB8,SUB14,SUB16,SUB17,SUB38,SUB41,SUB53,SUB59,SUB63]"
EID116,"[SUB12,SUB14,SUB15,SUB17,SUB28,SUB38,SUB39,SUB49,SUB53,SUB59,SUB60]"
EID117,"[SUB8,SUB14,SUB15,SUB16,SUB17,SUB32,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID118,"[SUB9,SUB14,SUB15,SUB22,SUB28,SUB56,SUB59,SUB60]"
EID119,"[SUB14,SUB15,SUB17,SUB28,SUB32,SUB49,SUB50,SUB59,SUB60,SUB62]"
EID120,"[SUB6,SUB17,SUB49,SUB50,SUB56,SUB59,SUB60]"
EID121,"[SUB14,SUB16,SUB41,SUB50,SUB63]"
EID122,"[SUB8,SUB14,SUB15,SUB16,SUB17,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID123,"[SUB8,SUB17,SUB52,SUB59,SUB60,SUB66]"
EID124,"[SUB17,SUB33,SUB52,SUB57,SUB59,SUB60]"
EID125,"[SUB8,SUB12,SUB14,SUB15,SUB17,SUB27,SUB29,SUB33,SUB38,SUB39,SUB42,SUB53,SUB55,SUB59,SUB60]"
EID126,"[SUB4,SUB14,SUB41,SUB50,SUB63]"
EID127,"[SUB9,SUB15,SUB17,SUB27,SUB28,SUB38,SUB39,SUB44,SUB53,SUB56,SUB59,SUB60,SUB61]"
EID128,"[SUB14,SUB15,SUB17,SUB38,SUB39,SUB52,SUB53,SUB57,SUB59,SUB60,SUB66]"
EID129,"[SUB9,SUB14,SUB16,SUB17,SUB28,SUB33,SUB44,SUB50,SUB56,SUB59,SUB60]"
EID130,"[SUB15,SUB28,SUB38,SUB49,SUB53,SUB59,SUB60]"
EID131,"[SUB8,SUB9,SUB14,SUB15,SUB17,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID132,"[SUB15,SUB22,SUB25,SUB59,SUB60]"
EID133,"[SUB8,SUB14,SUB17,SUB49,SUB59,SUB60,SUB62]"
EID134,"[SUB14,SUB15,SUB16,SUB28,SUB38,SUB49,SUB50,SUB53,SUB59,SUB60,SUB62]"
EID135,"[SUB3,SUB8,SUB14,SUB16,SUB17,SUB27,SUB42,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID136,"[SUB8,SUB14,SUB15,SUB16,SUB17,SUB28,SUB33,SUB44,SUB50,SUB59,SUB60]"
